code,name,type,parent,notes
1000,Cash and deposits,asset,,
1100,Accounts receivable,asset,,
1200,Input tax credits (GST),asset,,
1210,Input tax refunds (QST),asset,,
1500,Computer equipment,asset,,
2000,Accounts payable,liability,,
2100,Credit card payable,liability,,
2200,GST/HST payable,liability,,
2210,QST payable,liability,,
2300,Payroll liabilities,liability,,
2400,Shareholder loan,liability,,
3000,Share capital,equity,,
3100,Retained earnings,equity,,
4000,Service revenue,revenue,,
5000,Cost of services,cogs,,
6000,Salaries and wages,expense,,
6100,Employer payroll taxes,expense,,
6200,Professional fees,expense,,
6300,Software subscriptions,expense,,
6400,Office and admin,expense,,
6500,Bank charges,expense,,
